pitch_type,game_date,release_speed,release_pos_x,release_pos_y,release_pos_z,player_name,batter,pitcher,zone,stand,p_throws,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_spin_rate,release_extension
CH,2020-10-05,87,-1.07,-1.07,5.98,Brandon Lowe,664040,570666,13,L,R,-1.2,0.7,-0.83,1.64,3.04206562756269,-126.628978845874,-5.71584125761413,-13.7363966371206,26.2240073709098,-23.2433739086607,86.4,1623,5.9
SL,2020-10-05,83,-0.96,-0.96,5.92,Brandon Lowe,664040,570666,14,L,R,0.2,-0.1,0.49,-0.44,2.96424898890498,-120.679999431432,-7.84998195959847,1.07676944941979,22.4127338886633,-31.8703518091953,82.6,2389,6
FF,2020-10-05,94.4,-0.95,-0.95,6.07,Brandon Lowe,664040,570666,2,L,R,-0.7,1.3,0.05,2.87,4.19228757787569,-137.313491815218,-5.47420631072322,-10.12745415032,32.2878078728663,-14.5678008654616,93.3,2214,5.8
SL,2020-10-05,81.4,-1.17,-1.17,5.98,Brandon Lowe,664040,570666,7,L,R,0.3,0,-0.8,1.88,0.210415091486199,-118.564664699785,-2.57941586823229,2.98298626593116,22.9140115063432,-31.89365352159,80.6,2289,5.7
SL,2020-10-05,81.6,-1.21,-1.21,6,Yandy Diaz,650490,570666,11,R,R,0.3,0,-0.45,3.81,1.13344229273796,-118.885764984106,1.63376111501238,2.54755965003498,23.0423279777031,-32.6716381431559,80.9,2354,5.8
SL,2020-10-05,83.2,-1.06,-1.06,5.94,Yandy Diaz,650490,570666,14,R,R,0.3,-0.3,0.93,0.82,3.97466947670744,-121.144191115869,-4.82078086631465,2.14346515106289,22.0353953731197,-33.9856169436402,82.9,2395,5.9
SI,2020-10-05,92.3,-0.59,-0.59,6.04,Yandy Diaz,650490,570666,13,R,R,-1,1.3,-1.34,2.31,0.379655309212684,-134.243046593081,-6.42063081345157,-12.7282377689573,30.6535801240482,-15.2011100526957,91.5,2080,5.9
SL,2020-10-05,83.4,-1.06,-1.06,6.05,Yandy Diaz,650490,570666,8,R,R,0.3,0,0.26,1.89,2.49192596860082,-121.433077354541,-3.08603205201426,2.17572965796034,23.117482864235,-31.9981195486846,82.8,2394,5.8
SI,2020-10-05,93.1,-0.98,-0.98,6.09,Yandy Diaz,650490,570666,1,R,R,-1.1,1.2,-0.57,3.19,3.4043604823453,-135.4753022605,-4.19546161550509,-14.1338690171692,30.2655421713698,-17.1313555234796,92.1,2166,5.7
SI,2020-10-05,93.7,-0.9,-0.9,6.08,Yandy Diaz,650490,570666,11,R,R,-1.1,1.1,-1.33,3.78,1.23749574376395,-136.373957531663,-2.66008022938136,-13.5828920466251,31.7312234081391,-17.7514483307345,92.7,2134,5.8
SL,2020-10-05,82.7,-1.26,-1.26,5.95,Michael Perez,605421,570666,5,L,R,0.3,-0.1,-0.22,2.36,1.70755645816801,-120.504389347813,-1.61919879779597,2.94225187884245,21.8395941458,-32.7780605733304,82.2,2337,5.7
SL,2020-10-05,82.7,-1.32,-1.32,5.97,Michael Perez,605421,570666,8,L,R,0.3,0.2,0.04,2.01,2.5919865049883,-120.403017876547,-2.91561640755256,1.97962619926826,23.4362610373664,-29.9366091058967,81.9,2380,5.7
CH,2020-10-05,86.7,-1.24,-1.24,6.08,Michael Perez,605421,570666,11,L,R,-1.2,0.4,-1.11,3.32,2.64193491901695,-126.315233278562,-1.31055810096241,-12.8919089000334,25.8398117320652,-27.3581761024179,86,1700,5.8
SI,2020-10-05,94.3,-0.77,-0.77,6.14,Michael Perez,605421,570666,12,L,R,-0.8,1.3,1.49,2.49,7.60451130794644,-137.074798554251,-6.71061710537901,-11.9252346128411,30.2470321156989,-13.8442011330902,93.3,2279,5.7
SL,2020-10-05,81.5,-1.37,-1.37,6.01,Michael Perez,605421,570666,1,L,R,0.3,0.1,-0.68,2.75,0.944728388101801,-118.797838225501,-0.916414990546087,2.83382720718433,22.3579849219937,-31.4634308577008,80.7,2440,5.6
SL,2020-10-05,81.7,-1.66,-1.66,6.04,Michael Perez,605421,570666,11,L,R,0.4,0,-1.13,3.86,0.385692654738838,-119.088602303959,1.52612935607766,3.96595923854321,21.5248311116735,-32.4205920487351,81,2363,5.6
FF,2020-10-05,93.4,-0.8,-0.8,6.13,Kevin Kiermaier,595281,570666,12,L,R,-0.5,1.3,0.87,2.91,5.38618414258967,-135.985548202277,-5.43976607862611,-7.56482769297547,28.1672958777229,-14.7350858486372,92.6,2289,5.7
SL,2020-10-05,81.2,-1.34,-1.34,6.01,Kevin Kiermaier,595281,570666,4,L,R,0.3,-0.3,-0.29,2.43,1.70611677938819,-118.414621661894,-0.92260610826248,2.83101051610253,20.7339546797881,-35.0979864147805,80.6,2428,5.5
FF,2020-10-05,93.4,-1.38,-1.38,6.19,Kevin Kiermaier,595281,570666,11,L,R,-0.8,1.4,-1.44,3,1.55668444011885,-135.997037239773,-5.61592924235769,-10.0763854002317,28.7263452893084,-13.3615930404535,92.8,2277,5.8
FS,2020-10-05,91.1,0.74,0.74,5.95,DJ LeMahieu,518934,663556,8,R,L,1.5,0.8,0.15,1.86,-4.82964500609054,-132.588105952502,-6.30342310223118,19.1522418755951,25.570809035809,-21.2224151586977,92.5,1887,6.9
FF,2020-10-05,98.2,0.49,0.49,6.15,DJ LeMahieu,518934,663556,5,R,L,1,1.2,-0.09,2.45,-3.88918056226031,-142.806817936076,-7.38744758030299,14.4911626328322,33.4482855161644,-13.970542866191,98.6,2265,6.6
FF,2020-10-05,99.5,0.41,0.41,6.04,Kyle Higashioka,543309,663556,13,R,L,1,1.3,-1.56,1.49,-7.88909582428893,-144.330450919798,-10.2620245001957,16.2776006505655,34.5119349032664,-11.2346897629452,100.2,2322,6.9
FF,2020-10-05,99.3,0.64,0.64,6.02,Kyle Higashioka,543309,663556,4,R,L,1.1,1.3,-0.61,2.66,-6.02948529369777,-144.28426596819,-6.80815472101659,16.6287847143305,35.3096808777827,-12.9221174444626,100.2,2282,7
FF,2020-10-05,98.4,0.47,0.47,6.1,Kyle Higashioka,543309,663556,4,R,L,1.1,1.3,-0.34,2.2,-4.89107528642646,-143.116013704757,-8.21853198744496,16.7318476725107,32.5743810032336,-12.6219215497799,99.3,2251,6.8
FF,2020-10-05,99,0.55,0.55,6.08,Kyle Higashioka,543309,663556,11,R,L,1.1,1.1,-0.28,3.66,-4.89693302207909,-144.171373139743,-3.82877180260698,16.4987038591339,33.6134517034897,-15.8055107382427,99.9,2170,6.8
FF,2020-10-05,96.2,0.89,0.89,5.95,Kyle Higashioka,543309,663556,12,R,L,0.8,1.3,0.1,3.58,-4.04014919546954,-140.076373091478,-3.6146732959298,11.9253551629225,31.6502616634129,-14.9145800826627,97.2,2159,6.8
FF,2020-10-05,94.3,0.9,0.9,5.88,Kyle Higashioka,543309,663556,5,R,L,0.9,1.4,-0.19,2.08,-4.97490767424493,-137.111356464785,-7.3450742837102,13.0724347807139,31.1621851222817,-13.0392762385378,95,2189,6.8
FF,2020-10-05,96.5,0.56,0.56,6.03,Kyle Higashioka,543309,663556,13,R,L,1.1,1.4,-1.31,2.15,-7.56881879602596,-140.194965948755,-8.05002918317849,16.4164050395948,32.1569525970383,-11.7174108843905,97.3,2339,6.8
FS,2020-10-05,87.2,0.82,0.82,5.89,Kyle Higashioka,543309,663556,14,R,L,1.5,0.7,0.2,0.1,-4.69951066339505,-126.605205349582,-9.17568880155948,17.465346444963,25.8721296224369,-23.3635969714701,88,1802,6.9
FF,2020-10-05,97.3,0.68,0.68,6.13,Kyle Higashioka,543309,663556,12,R,L,0.8,1.3,1.1,3.24,-0.747941450955232,-141.716217089898,-5.21175288830621,11.0399822679198,32.5007103916952,-13.9486281829127,98,2091,6.7
FF,2020-10-05,98.4,0.72,0.72,5.96,Brett Gardner,458731,663556,7,L,L,0.9,1,-0.43,1.75,-5.2783770780984,-143.00058071676,-8.45834003507593,13.7280636319625,32.6897063266244,-16.031567231527,99.4,2063,6.9
FF,2020-10-05,98.5,0.56,0.56,6.18,Brett Gardner,458731,663556,3,L,L,0.9,1,0.53,3.08,-2.19935422043631,-143.463615714093,-5.44881803465546,12.9471398652034,32.6727086916477,-16.7302309690213,99.5,2083,6.8
FF,2020-10-05,96,-0.22,-0.22,5.88,Sean Murphy,669221,519151,5,R,R,0,1.5,-0.06,2.53,0.388800230326837,-139.746686496369,-6.63994293525866,0.116138011831326,30.6674407668088,-11.4028452831764,96,2604,6.2
FF,2020-10-05,98.7,0.32,0.32,6.18,Brett Gardner,458731,663556,13,L,L,0.9,1.2,-1.47,1.85,-6.98001827283134,-143.385836151408,-9.22284436634003,13.7770631954376,32.3911028210575,-13.5322383877811,99.8,2234,6.9
FF,2020-10-05,95.9,-0.24,-0.24,5.98,Sean Murphy,669221,519151,12,R,R,0.1,1.2,0.18,3.94,0.851684461704572,-139.658351761768,-2.56238805225945,1.15219696019727,30.7573866523688,-15.8634725865105,95.7,2589,6.1
FF,2020-10-05,98.1,0.81,0.81,6.17,Brett Gardner,458731,663556,2,L,L,0.8,1.3,-0.25,2.83,-4.84902842639494,-142.66500448341299,-6.58049280753088,12.594432802191,34.3417698099471,-13.066915644346,98.4,2304,6.6
FF,2020-10-05,93.3,-2.53,-2.53,6.34,Gleyber Torres,650402,595928,3,R,R,-0.3,1.5,0.82,3.08,9.26265997238156,-135.452603503905,-5.91957576389401,-5.54109579252539,29.0542671006699,-12.5915306633262,93.5,2245,6.5
FF,2020-10-05,96.4,-0.3,-0.3,5.92,Sean Murphy,669221,519151,9,R,R,-0.3,1.2,0.34,1.85,2.4088386867775,-140.293583037301,-8.0938321213209,-4.71284833302171,30.5180694303133,-14.103831386872,96.7,2610,6.3
SL,2020-10-05,83.8,-2.84,-2.84,6.2,Gleyber Torres,650402,595928,8,R,R,0.3,0.1,-0.13,1.8,5.67771639970058,-121.972312177581,-4.0823394406582,2.08145053819526,22.7747595389853,-30.195307621286,84.3,2612,6.5
FF,2020-10-05,95.7,-0.36,-0.36,5.94,Ramon Laureano,657656,519151,5,R,R,-0.1,1.4,0.11,2.39,1.52309349832699,-139.228237236289,-6.91579581926582,-2.02256491578989,31.1932881779128,-12.4816048740795,95.4,2508,6.1
SL,2020-10-05,83.9,-2.74,-2.74,6.19,Gleyber Torres,650402,595928,6,R,R,0.5,0,0.34,2.3,6.21207870159952,-122.029610991964,-2.5998639949691,3.41277896165826,24.1620930967642,-31.8460015852363,84.1,2518,6.5
FF,2020-10-05,95.5,-0.31,-0.31,5.96,Ramon Laureano,657656,519151,14,R,R,0.2,1.1,0.82,1.05,2.58984919324117,-138.891707806994,-9.74073274303933,1.7204920336384,28.9853021145972,-16.2296877858215,95.6,2573,6.2
FF,2020-10-05,95.8,-0.43,-0.43,6.04,Robbie Grossman,543257,519151,11,L,R,-0.1,1.5,-0.09,3.33,1.00211080345975,-139.476797684621,-5.02304389187014,-0.897432279690354,29.7383351633959,-11.1539498658647,95.6,2722,6
FF,2020-10-05,94,-2.56,-2.56,6.36,Gleyber Torres,650402,595928,11,R,R,-0.5,1.5,-1.51,4.35,3.74602270403883,-136.902249294467,-2.75538520697197,-6.5500944859989,30.0023345135885,-13.3716158120715,94.3,2300,6.4
SL,2020-10-05,87.6,-2.6,-2.6,6.22,Gleyber Torres,650402,595928,14,R,R,0.6,0,1.76,0.79,9.3479576998703,-127.204520259879,-6.87222402965717,4.14274246432877,26.1731447374787,-31.2782410904316,87.5,2676,6.4
FF,2020-10-05,95.6,-0.38,-0.38,6.06,Robbie Grossman,543257,519151,14,L,R,0.1,1.1,1,1.08,3.4791624291638,-138.905341202043,-10.0580424833585,0.0502245202722632,29.7536168795179,-15.3445218746221,95.3,2667,6.1
